iter	SurvivalAft	SurvivalAft:dist=Normal
0	3.276105063	3.276105063
1	3.127415427	3.127415427
2	2.986181484	2.986181484
3	2.84649309	2.84649309
4	2.702055966	2.702055966
5	2.566707252	2.566707252
6	2.418530778	2.418530778
7	2.269651901	2.269651901
8	2.13645553	2.13645553
9	1.98474999	1.98474999
10	1.858690525	1.858690525
11	1.769961067	1.769961067
12	1.665971018	1.665971018
13	1.571650416	1.571650416
14	1.470603719	1.470603719
15	1.402781361	1.402781361
16	1.328323472	1.328323472
17	1.242108428	1.242108428
18	1.17127819	1.17127819
19	1.112747848	1.112747848
20	1.060117947	1.060117947
21	1.019179844	1.019179844
22	0.9804753063	0.9804753063
23	0.9474800682	0.9474800682
24	0.921831387	0.921831387
25	0.8943324782	0.8943324782
26	0.8800668521	0.8800668521
27	0.8658485946	0.8658485946
28	0.8445662585	0.8445662585
29	0.8350697645	0.8350697645
30	0.8195206141	0.8195206141
31	0.8169670844	0.8169670844
32	0.808933898	0.808933898
33	0.8094119941	0.8094119941
34	0.805954247	0.805954247
35	0.7958866004	0.7958866004
36	0.790723935	0.790723935
37	0.7861223664	0.7861223664
38	0.7921271932	0.7921271932
39	0.7801434097	0.7801434097
40	0.7747994306	0.7747994306
41	0.7719847309	0.7719847309
42	0.7645978944	0.7645978944
43	0.7620599125	0.7620599125
44	0.7620636022	0.7620636022
45	0.7618073839	0.7618073839
46	0.7577035606	0.7577035606
47	0.7557372422	0.7557372422
48	0.7555477071	0.7555477071
49	0.7570310805	0.7570310805
50	0.75743799	0.75743799
51	0.7646856412	0.7646856412
52	0.7679100338	0.7679100338
53	0.7689915206	0.7689915206
54	0.7704498714	0.7704498714
55	0.7679403425	0.7679403425
56	0.7631315493	0.7631315493
57	0.7671200958	0.7671200958
58	0.7655319709	0.7655319709
59	0.7602014848	0.7602014848
60	0.7629747719	0.7629747719
61	0.768530129	0.768530129
62	0.7703902116	0.7703902116
63	0.766712762	0.766712762
64	0.7652751222	0.7652751222
65	0.767132097	0.767132097
66	0.7656723369	0.7656723369
67	0.7656119584	0.7656119584
68	0.7627683482	0.7627683482
69	0.7597210203	0.7597210203
70	0.7601345734	0.7601345734
71	0.7598645253	0.7598645253
72	0.7562186344	0.7562186344
73	0.7541032125	0.7541032125
74	0.7541066496	0.7541066496
75	0.7517061724	0.7517061724
76	0.7423292054	0.7423292054
77	0.7419797411	0.7419797411
78	0.7407708911	0.7407708911
79	0.7463303981	0.7463303981
80	0.744090764	0.744090764
81	0.7389417575	0.7389417575
82	0.7374597526	0.7374597526
83	0.7351582972	0.7351582972
84	0.7341258062	0.7341258062
85	0.7303323991	0.7303323991
86	0.7264399965	0.7264399965
87	0.726006334	0.726006334
88	0.7259249657	0.7259249657
89	0.7241048983	0.7241048983
90	0.7259743831	0.7259743831
91	0.7225985426	0.7225985426
92	0.7212707389	0.7212707389
93	0.7185500269	0.7185500269
94	0.7144467765	0.7144467765
95	0.7112501417	0.7112501417
96	0.7050735068	0.7050735068
97	0.700781609	0.700781609
98	0.7034591612	0.7034591612
99	0.7047070617	0.7047070617
100	0.7054688407	0.7054688407
101	0.7004344867	0.7004344867
102	0.7003729518	0.7003729518
103	0.6996692486	0.6996692486
104	0.6988781903	0.6988781903
105	0.696014171	0.696014171
106	0.69315429	0.69315429
107	0.6936330944	0.6936330944
108	0.6933931067	0.6933931067
109	0.6918135516	0.6918135516
110	0.6925309565	0.6925309565
111	0.6913661813	0.6913661813
112	0.6848237144	0.6848237144
113	0.6869847791	0.6869847791
114	0.6851560029	0.6851560029
115	0.6847677866	0.6847677866
116	0.6853646105	0.6853646105
117	0.6849570722	0.6849570722
118	0.6811535146	0.6811535146
119	0.6817922705	0.6817922705
120	0.6808276149	0.6808276149
121	0.6772221034	0.6772221034
122	0.6777021668	0.6777021668
123	0.6745984111	0.6745984111
124	0.675019798	0.675019798
125	0.6754964124	0.6754964124
126	0.6750450441	0.6750450441
127	0.6749026871	0.6749026871
128	0.6750311136	0.6750311136
129	0.6700111095	0.6700111095
130	0.6660187599	0.6660187599
131	0.6630090715	0.6630090715
132	0.6575568671	0.6575568671
133	0.6582934283	0.6582934283
134	0.6591196019	0.6591196019
135	0.65472134	0.65472134
136	0.6543479417	0.6543479417
137	0.6497159503	0.6497159503
138	0.6437026651	0.6437026651
139	0.6412811818	0.6412811818
140	0.6411618659	0.6411618659
141	0.6413796867	0.6413796867
142	0.6421986008	0.6421986008
143	0.6395493992	0.6395493992
144	0.6377001242	0.6377001242
145	0.6345740063	0.6345740063
146	0.6309854713	0.6309854713
147	0.624170642	0.624170642
148	0.6239907311	0.6239907311
149	0.6236275654	0.6236275654
150	0.6221257095	0.6221257095
151	0.6190442038	0.6190442038
152	0.6204277066	0.6204277066
153	0.6165866809	0.6165866809
154	0.6173732599	0.6173732599
155	0.6171096913	0.6171096913
156	0.6172695985	0.6172695985
157	0.6163699593	0.6163699593
158	0.6148595591	0.6148595591
159	0.6116813077	0.6116813077
160	0.6083107041	0.6083107041
161	0.6051023234	0.6051023234
162	0.6007258775	0.6007258775
163	0.5968691854	0.5968691854
164	0.5950597348	0.5950597348
165	0.5954672109	0.5954672109
166	0.5944562507	0.5944562507
167	0.594923802	0.594923802
168	0.5926953732	0.5926953732
169	0.5912217068	0.5912217068
170	0.5929495749	0.5929495749
171	0.5943198176	0.5943198176
172	0.5912872473	0.5912872473
173	0.5875793811	0.5875793811
174	0.5862486945	0.5862486945
175	0.5816642551	0.5816642551
176	0.5803819836	0.5803819836
177	0.5775515927	0.5775515927
178	0.5784357901	0.5784357901
179	0.5821937481	0.5821937481
180	0.5799837381	0.5799837381
181	0.5792643397	0.5792643397
182	0.5790075506	0.5790075506
183	0.573634745	0.573634745
184	0.5706439225	0.5706439225
185	0.5685319442	0.5685319442
186	0.5648580539	0.5648580539
187	0.5657660458	0.5657660458
188	0.5625359482	0.5625359482
189	0.5592787874	0.5592787874
190	0.5605507177	0.5605507177
191	0.5592117605	0.5592117605
192	0.5597961529	0.5597961529
193	0.5549217247	0.5549217247
194	0.5554721369	0.5554721369
195	0.5547231623	0.5547231623
196	0.5535766225	0.5535766225
197	0.5516782412	0.5516782412
198	0.548535799	0.548535799
199	0.5459353231	0.5459353231
200	0.5439123839	0.5439123839
201	0.5431744838	0.5431744838
202	0.54285622	0.54285622
203	0.541786336	0.541786336
204	0.5394631999	0.5394631999
205	0.5367434858	0.5367434858
206	0.5367377436	0.5367377436
207	0.5355139034	0.5355139034
208	0.5330194942	0.5330194942
209	0.5315307765	0.5315307765
210	0.5308305014	0.5308305014
211	0.529676123	0.529676123
212	0.5267148784	0.5267148784
213	0.5248607685	0.5248607685
214	0.5239192415	0.5239192415
215	0.5224976493	0.5224976493
216	0.5217469856	0.5217469856
217	0.5189084802	0.5189084802
218	0.5189211946	0.5189211946
219	0.5174253277	0.5174253277
220	0.5169906327	0.5169906327
221	0.5192486387	0.5192486387
222	0.5196509381	0.5196509381
223	0.5168361221	0.5168361221
224	0.5172168106	0.5172168106
225	0.5142876509	0.5142876509
226	0.5117165935	0.5117165935
227	0.5090139288	0.5090139288
228	0.5065890493	0.5065890493
229	0.5059953583	0.5059953583
230	0.5053756523	0.5053756523
231	0.5055609504	0.5055609504
232	0.5027335933	0.5027335933
233	0.5037477772	0.5037477772
234	0.4998390496	0.4998390496
235	0.497656944	0.497656944
236	0.4943865921	0.4943865921
237	0.4944958261	0.4944958261
238	0.494481245	0.494481245
239	0.4936252614	0.4936252614
240	0.4915130881	0.4915130881
241	0.4889382875	0.4889382875
242	0.4880449929	0.4880449929
243	0.4878744453	0.4878744453
244	0.4871761743	0.4871761743
245	0.4838592459	0.4838592459
246	0.4825164834	0.4825164834
247	0.4833632689	0.4833632689
248	0.4824784348	0.4824784348
249	0.4782560332	0.4782560332
250	0.4775417674	0.4775417674
251	0.4753828526	0.4753828526
252	0.475190352	0.475190352
253	0.4731778986	0.4731778986
254	0.472262932	0.472262932
255	0.471419507	0.471419507
256	0.468971628	0.468971628
257	0.4666234737	0.4666234737
258	0.4665998434	0.4665998434
259	0.4646589034	0.4646589034
260	0.4650072432	0.4650072432
261	0.4633661406	0.4633661406
262	0.4638817717	0.4638817717
263	0.4623453872	0.4623453872
264	0.4606638048	0.4606638048
265	0.4601555784	0.4601555784
266	0.460852615	0.460852615
267	0.4596914198	0.4596914198
268	0.4596622777	0.4596622777
269	0.4566717668	0.4566717668
270	0.4569826273	0.4569826273
271	0.454986314	0.454986314
272	0.4543516289	0.4543516289
273	0.4525321267	0.4525321267
274	0.4531445648	0.4531445648
275	0.4502412898	0.4502412898
276	0.4496762488	0.4496762488
277	0.4500577058	0.4500577058
278	0.4471381195	0.4471381195
279	0.4459166218	0.4459166218
280	0.4458284549	0.4458284549
281	0.4434533627	0.4434533627
282	0.4445645108	0.4445645108
283	0.4434959451	0.4434959451
284	0.4420468632	0.4420468632
285	0.4406984288	0.4406984288
286	0.4397563678	0.4397563678
287	0.4358380209	0.4358380209
288	0.4348288975	0.4348288975
289	0.4325941487	0.4325941487
290	0.432164298	0.432164298
291	0.4327948058	0.4327948058
292	0.4306344252	0.4306344252
293	0.4291403003	0.4291403003
294	0.4268226546	0.4268226546
295	0.4259446083	0.4259446083
296	0.4238000592	0.4238000592
297	0.4240860082	0.4240860082
298	0.424776763	0.424776763
299	0.4223951623	0.4223951623
300	0.420530155	0.420530155
301	0.4200255886	0.4200255886
302	0.4189814708	0.4189814708
303	0.4182955505	0.4182955505
304	0.4178298254	0.4178298254
305	0.4181332651	0.4181332651
306	0.4176972506	0.4176972506
307	0.4169101228	0.4169101228
308	0.4153165101	0.4153165101
309	0.4144471534	0.4144471534
310	0.4131572161	0.4131572161
311	0.4119038745	0.4119038745
312	0.4102509645	0.4102509645
313	0.4076875013	0.4076875013
314	0.4056103419	0.4056103419
315	0.4042372222	0.4042372222
316	0.403881404	0.403881404
317	0.4027200907	0.4027200907
318	0.4023393777	0.4023393777
319	0.4008591611	0.4008591611
320	0.3992722638	0.3992722638
321	0.3992251163	0.3992251163
322	0.3995547738	0.3995547738
323	0.3992020357	0.3992020357
324	0.3977806853	0.3977806853
325	0.3953214422	0.3953214422
326	0.3936278056	0.3936278056
327	0.39305108	0.39305108
328	0.3933387141	0.3933387141
329	0.3900727636	0.3900727636
330	0.388773863	0.388773863
331	0.3887611627	0.3887611627
332	0.3863171978	0.3863171978
333	0.3865147263	0.3865147263
334	0.3868490089	0.3868490089
335	0.3850284149	0.3850284149
336	0.3857254283	0.3857254283
337	0.3860937992	0.3860937992
338	0.3847807921	0.3847807921
339	0.3829470502	0.3829470502
340	0.3827853575	0.3827853575
341	0.38084483	0.38084483
342	0.3800964592	0.3800964592
343	0.3792916677	0.3792916677
344	0.3791299077	0.3791299077
345	0.3784685061	0.3784685061
346	0.3785014183	0.3785014183
347	0.3774938067	0.3774938067
348	0.3772003372	0.3772003372
349	0.3766466591	0.3766466591
350	0.376394567	0.376394567
351	0.3747762385	0.3747762385
352	0.3739851051	0.3739851051
353	0.373483567	0.373483567
354	0.372358937	0.372358937
355	0.3707510465	0.3707510465
356	0.3705132952	0.3705132952
357	0.3696920307	0.3696920307
358	0.3689936292	0.3689936292
359	0.3681475587	0.3681475587
360	0.3666989716	0.3666989716
361	0.3652135207	0.3652135207
362	0.3629326758	0.3629326758
363	0.3636361355	0.3636361355
364	0.3641067655	0.3641067655
365	0.3643355295	0.3643355295
366	0.3630928961	0.3630928961
367	0.363287314	0.363287314
368	0.3628120068	0.3628120068
369	0.3625648845	0.3625648845
370	0.3617950735	0.3617950735
371	0.361701203	0.361701203
372	0.3608252614	0.3608252614
373	0.3595178396	0.3595178396
374	0.3598069559	0.3598069559
375	0.3586628262	0.3586628262
376	0.3589859677	0.3589859677
377	0.359348333	0.359348333
378	0.3572101094	0.3572101094
379	0.3575502515	0.3575502515
380	0.3564714038	0.3564714038
381	0.3555361107	0.3555361107
382	0.3550081236	0.3550081236
383	0.3538227137	0.3538227137
384	0.3521636032	0.3521636032
385	0.3513369881	0.3513369881
386	0.3515426604	0.3515426604
387	0.3507611338	0.3507611338
388	0.3504720204	0.3504720204
389	0.3506314524	0.3506314524
390	0.3500158617	0.3500158617
391	0.349036845	0.349036845
392	0.3477037712	0.3477037712
393	0.3447723996	0.3447723996
394	0.3433395664	0.3433395664
395	0.3430312604	0.3430312604
396	0.3432800417	0.3432800417
397	0.3416876056	0.3416876056
398	0.3400844915	0.3400844915
399	0.3385219675	0.3385219675
400	0.3379329412	0.3379329412
401	0.3371197123	0.3371197123
402	0.3374117923	0.3374117923
403	0.3355218981	0.3355218981
404	0.3340892901	0.3340892901
405	0.3348133214	0.3348133214
406	0.3330325117	0.3330325117
407	0.3324684457	0.3324684457
408	0.3307937795	0.3307937795
409	0.3307090705	0.3307090705
410	0.3298449132	0.3298449132
411	0.3297974349	0.3297974349
412	0.3303905576	0.3303905576
413	0.328853863	0.328853863
